country,iso3,label,baseline_local,local_price,variation_local,local_currency,local_range,Date
Burundi,BDI,Apples (1kg),6910.51,6881.74,-0.42,FBu,3780.5-10000,2021-02-07
Curacao,CUW,Apples (1kg),6.48,6.66,2.78,NAf,5-8,2021-02-07
Sint Maarten,SXM,Apples (1kg),3.99,4.27,7.09,$,3-5,2021-02-07
Martinique,MTQ,Apples (1kg),2.27,2.27,0.0,€,1.57-3,2021-02-07
Cyprus,CYP,Apples (1kg),1.81,1.98,9.39,€,0.86-2.6,2021-02-07
Armenia,ARM,Apples (1kg),456.41,489.58,7.27,AMD,250-799.99,2021-02-07
Brunei,BRN,Apples (1kg),3.4,4.5,32.35,S$,1.79-5,2021-02-07
Bosnia And Herzegovina,BIH,Apples (1kg),1.72,1.74,1.16,KM,0.99-2.49,2021-02-07
Dominica,DMA,Apples (1kg),22.44,22.42,-0.09,EC$,19.84-25,2021-02-07
Belgium,BEL,Apples (1kg),2.17,2.27,4.48,€,0.99-3,2021-02-07
Bhutan,BTN,Apples (1kg),234.11,300.06,28.17,₹,100-400.01,2021-02-07
El Salvador,SLV,Apples (1kg),3.24,2.71,-16.36,$,0.99-4.5,2021-02-07
Egypt,EGY,Apples (1kg),23.48,23.8,1.36,EG£,10.01-31.99,2021-02-07
Timor-Leste,TLS,Apples (1kg),7.5,5.71,-23.85,$,3-8,2021-02-07
Dominican Republic,DOM,Apples (1kg),120.51,126.33,4.83,RD$,75.99-220.46,2021-02-07
Us Virgin Islands,VIR,Apples (1kg),6.31,6.66,5.55,$,3.53-13.21,2021-02-07
Burkina Faso,BFA,Apples (1kg),1350.0,1350.0,0.0,CFA,1200-1500,2021-02-07
Brazil,BRA,Apples (1kg),5.89,7.32,24.33,R$,3-11.99,2021-02-07
Cameroon,CMR,Apples (1kg),1351.27,1646.15,21.82,CFA,949.99-2499.99,2021-02-07
Jersey,JEY,Apples (1kg),2.8,3.15,12.5,£,0.99-3.99,2021-02-07
Taiwan,TWN,Apples (1kg),134.11,131.68,-1.81,NT$,60.01-200,2021-02-07
Argentina,ARG,Apples (1kg),69.27,1.41,-97.96,$,0.79-2.16,2021-02-07
Bermuda,BMU,Apples (1kg),9.24,9.99,8.12,$,5-13.01,2021-02-07
Guam,GUM,Apples (1kg),4.3,7.65,77.91,$,2.01-14.33,2021-02-07
Bulgaria,BGR,Apples (1kg),1.88,2.16,14.89,лв,0.99-3,2021-02-07
South Sudan,SSD,Apples (1kg),6.5,6.5,0.0,$,3.99-8.99,2021-02-07
Czech Republic,CZE,Apples (1kg),30.85,34.87,13.04,Kč,20-50,2021-02-07
Algeria,DZA,Apples (1kg),259.43,267.22,3.0,DZD,120-479.99,2021-02-07
Bolivia,BOL,Apples (1kg),15.13,15.79,4.36,Bs.,5-36,2021-02-07
Bahamas,BHS,Apples (1kg),3.77,3.96,5.15,$,2.2-6.61,2021-02-07
Marshall Islands,MHL,Apples (1kg),7.72,7.72,0.0,$,6.61-8.8,2021-02-07
Ecuador,ECU,Apples (1kg),2.06,2.01,-2.43,$,0.99-3.51,2021-02-07
Aland Islands,ALA,Apples (1kg),1.8,1.9,5.56,€,1.65-2.49,2021-02-07
Bangladesh,BGD,Apples (1kg),163.92,162.15,-1.08,৳,100-200,2021-02-07
Botswana,BWA,Apples (1kg),17.85,20.13,12.77,P,11.99-25,2021-02-07
Cambodia,KHM,Apples (1kg),3.55,4.08,14.93,$,2.01-5.49,2021-02-07
Barbados,BRB,Apples (1kg),8.0,7.1,-11.3,Bds$,3.31-15.43,2021-02-07
Estonia,EST,Apples (1kg),1.06,1.39,31.13,€,0.6-2.49,2021-02-07
Turks And Caicos Islands,TCA,Apples (1kg),4.14,4.14,0.0,$,3.31-5,2021-02-07
Macao,MAC,Apples (1kg),36.16,32.32,-10.62,P,14.99-50,2021-02-07
Hong Kong,HKG,Apples (1kg),27.87,30.27,8.61,HK$,11.02-50,2021-02-07
United States,USA,Apples (1kg),4.48,4.53,1.08,$,2.16-8.8,2021-02-07
Maldives,MDV,Apples (1kg),32.5,39.99,23.05,Rf,25-70,2021-02-07
Venezuela,VEN,Apples (1kg),3.78,5.09,34.58,$,1.76-8,2021-02-07
Cape Verde,CPV,Apples (1kg),273.47,275.0,0.56,Esc,250-300,2021-02-07
Liberia,LBR,Apples (1kg),2.76,2.76,0.0,$,2.49-3,2021-02-07
Croatia,HRV,Apples (1kg),8.94,9.79,9.48,kn,5-15.12,2021-02-07
Faroe Islands,FRO,Apples (1kg),23.31,23.32,0.04,kr,20-25,2021-02-07
Guinea-Bissau,GNB,Apples (1kg),1375.0,1375.0,0.0,CFA,749.99-2000.01,2021-02-07
Uzbekistan,UZB,Apples (1kg),0.97,1.31,34.61,$,0.71-2.05,2021-02-07
Colombia,COL,Apples (1kg),6043.18,6982.45,15.54,Col$,2499.99-10000,2021-02-07
Congo,COG,Apples (1kg),6.21,6.31,1.61,$,3-8,2021-02-07
Zimbabwe,ZWE,Apples (1kg),3.75,3.15,-16.0,$,2.01-5,2021-02-07
Aruba,ABW,Apples (1kg),4.83,4.41,-8.7,$,3.35-8,2021-02-07
Tonga,TON,Apples (1kg),4.5,4.5,0.0,T$,3-6,2021-02-07
Chad,TCD,Apples (1kg),2709.1,3057.5,12.86,CFA,1200.22-4000,2021-02-07
Djibouti,DJI,Apples (1kg),749.57,700.01,-6.61,Fdj,400.01-999.99,2021-02-07
Costa Rica,CRI,Apples (1kg),2313.64,2371.75,2.51,₡,999.99-4000,2021-02-07
Guadeloupe,GLP,Apples (1kg),3.51,3.51,0.0,€,3-3.99,2021-02-07
Cuba,CUB,Apples (1kg),4.22,6.33,50.0,$,1.26-11.02,2021-02-07
Chile,CHL,Apples (1kg),1079.99,1163.16,7.7,CL$,550.01-1990,2021-02-07
Solomon Islands,SLB,Apples (1kg),36.99,36.99,0.0,SI$,30-44,2021-02-07
Vietnam,VNM,Apples (1kg),64763.43,65593.93,1.28,₫,30000.01-100000,2021-02-07
United Kingdom,GBR,Apples (1kg),1.78,1.81,1.69,£,0.99-3,2021-02-07
Belarus,BLR,Apples (1kg),2.24,3.24,44.64,BYN,1.83-5,2021-02-07
Equatorial Guinea,GNQ,Apples (1kg),2000.67,2666.66,33.29,CFA,999.99-4000,2021-02-07
Bahrain,BHR,Apples (1kg),0.84,0.9,7.14,BHD,0.51-1.7,2021-02-07
Cayman Islands,CYM,Apples (1kg),8.77,7.36,-16.08,KY$,4.25-10.01,2021-02-07
Denmark,DNK,Apples (1kg),18.38,18.71,1.78,kr,10.01-25,2021-02-07
Benin,BEN,Apples (1kg),1830.12,2000.01,9.28,CFA,999.99-2499.99,2021-02-07
Vanuatu,VUT,Apples (1kg),349.68,402.91,15.22,VT,225-550.01,2021-02-07
China,CHN,Apples (1kg),12.95,12.87,-0.61,¥,5-22.05,2021-02-07
Canada,CAN,Apples (1kg),3.91,4.13,5.74,C$,1.65-6.59,2021-02-07
Austria,AUT,Apples (1kg),2.25,2.25,-0.13,€,0.99-3,2021-02-07
French Polynesia,PYF,Apples (1kg),422.49,481.67,14.01,F,218.35-600.01,2021-02-07
Cambodia,KHM,Apples (1kg),3.55,3.95,11.27,$,2.01-5,2021-05-16
